Classififer,DataSet,Accuracy,F1 Score,Recall,Precision
Extra Tree,HF,0.8854961832061069,0.8853737701454494,0.8854961832061069,0.8853562340966922
Extra Tree,HD,0.9902597402597403,0.9902557287477295,0.9902597402597403,0.9904401154401155
Extra Tree,F,0.8208754208754209,0.8011258483642205,0.8208754208754209,0.8169011701745252
Decision Tree,HF,0.8358778625954199,0.8346583837978507,0.8358778625954199,0.8364854452832986
Decision Tree,HD,0.9707792207792207,0.9707263467620281,0.9707792207792207,0.9723446196660483
Decision Tree,F,0.8114478114478114,0.7935372947040759,0.8114478114478114,0.8022280662155945
Logistic Regression,HF,0.8778625954198473,0.8772489864494687,0.8778625954198473,0.8783205368255058
Logistic Regression,HD,0.8051948051948052,0.8047836676429813,0.8051948051948052,0.8112208765224814
Logistic Regression,F,0.8363636363636363,0.80826890167049,0.8363636363636363,0.8633078102730695
Nearest Centroid,HF,0.5916030534351145,0.5933042348287477,0.5916030534351145,0.6012190070418367
Nearest Centroid,HD,0.6558441558441559,0.6536465747865859,0.6558441558441559,0.6570533749304699
Nearest Centroid,F,0.5986531986531987,0.6215003604253928,0.5986531986531987,0.6754551805032574
Random Forest,HF,0.8854961832061069,0.8847409262745647,0.8854961832061069,0.8866575737529452
Random Forest,HD,0.9805194805194806,0.9804997133764258,0.9805194805194806,0.9812278630460449
Random Forest,F,0.837037037037037,0.8084934590969369,0.837037037037037,0.8665336989944319
SVM,HD,0.935064935064935,0.935048481923482,0.935064935064935,0.9351110291660426
SVM,HF,0.8702290076335878,0.8699354780079971,0.8702290076335878,0.8700555170020818
SVM,F,0.8336700336700337,0.807702790311486,0.8336700336700337,0.8506580961126414
Extra Tree with Optuna,F,0.837037037037037,0.8084934590969368,0.837037037037037,0.8665336989944319
Extra Tree with Optuna,HF,0.9007633587786259,0.8997581278033356,0.9007633587786259,0.9041541796249176
Extra Tree with Optuna,HD,0.9902597402597403,0.9902618975708676,0.9902597402597403,0.990451982228298
